# Temperature (K) 	 M/H in emu (multiply by field in Oe)
9.170401382446290484e+01	3.295346888661899479e-13
9.186745452880859375e+01	3.254710688644627193e-13
9.202867889404301138e+01	3.691501741577162198e-13
9.219389343261720171e+01	2.040379029539454038e-13
9.235900115966801138e+01	2.384755897229596822e-13
9.253102874755859375e+01	5.316503122206768391e-13
9.270966339111329546e+01	4.376541462933983040e-13
9.288328933715820312e+01	6.089068891230092402e-13
9.305332183837890625e+01	-1.843290879212852332e-13
9.320843124389649859e+01	-5.298106614989109695e-14
9.337429428100590201e+01	7.087771630409924409e-14
9.355051803588871451e+01	-5.942404146374662433e-13
9.372378921508790484e+01	8.909426395131891316e-13
9.388344955444340201e+01	3.218455750236719432e-13
9.404452133178709516e+01	-2.339409011109031843e-13
9.421431350708009234e+01	2.851851970427939948e-14
9.436401367187500000e+01	2.864749823612831629e-13
9.452552032470698862e+01	-2.498368677371918928e-13
9.468426132202149859e+01	2.531996321167504417e-13
9.484976959228519888e+01	8.223156886788680907e-13
9.501376342773441763e+01	-4.122246876580044267e-15
9.518489074707029829e+01	-7.286243909845630423e-14
9.534991455078120737e+01	2.208557894307843686e-13
