#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
2.675753936767579830e+02	-2.207440504115589796e-08
2.680881347656250000e+02	-2.354106028647029628e-08
2.685711517333980396e+02	-5.465823707585449695e-09
2.690885162353519604e+02	-2.460604897638879894e-08
2.695846557617190342e+02	-8.256553458667869978e-09
2.700721435546869884e+02	-2.016970602197530057e-08
2.705705871582030113e+02	-2.125381567090120094e-08
2.710658111572269604e+02	-1.274336400971509956e-08
2.715568389892579830e+02	-2.133500522969810056e-08
2.720632324218750000e+02	-1.404552727098949912e-08
2.725490570068359943e+02	-2.150243837657479797e-08
2.730565490722660229e+02	-1.540105944515069997e-08
2.735655822753910229e+02	-1.268399327175780145e-08
2.740483245849609943e+02	-7.275563592572420983e-09
2.745419464111329830e+02	-1.211574159325129919e-08
